palavra,fonetica-divisao_silabica
a·ba·li·e·na·do ,a.ba.ljẽ.nˈa.dʊ 
a·ba·li·e·nar ,a.ba.ljẽ.nˈaɾ 
a·ba·li·e·ná·vel ,a.ba.ljẽ.nˈa.vew 
a·ba·lis·tar ,a.ba.liʃ.tˈaɾ 
a·ba·li·za·da·men·te ,a.ba.li.za.dã.mˈẽ.tʃɪ 
a·ba·li·za·do ,a.ba.li.zˈa.dʊ 
a·ba·li·zar ,a.ba.li.zˈaɾ 
a·ba·lo ,a.bˈa.lʊ 
a·ba·lo·ne ,a.ba.lˈɔ̃.nɪ 
a·bal·ro·a ,a.baw.ɦˈo.ɐ 
a·bal·ro·a·da ,a.baw.ɦo.ˈa.dɐ 
a·bal·ro·a·do ,a.baw.ɦo.ˈa.dʊ 
a·bal·ro·a·men·to ,a.baw.ɦo.ã.mˈẽ.tʊ 
a·bal·ro·ar ,a.baw.ɦo.ˈaɾ 
a·ba·lu·ar·ta·do ,a.ba.lu.ah.tˈa.dʊ 
a·ba·lu·ar·tar ,a.ba.lu.ah.tˈaɾ 
a·ba·ma  ,a.bˈɐ̃.mɐ
a·ba·na·do ,a.bã.nˈa.dʊ 
a·ba·na·na·do ,a.bã.nã.nˈa.dʊ 
a·ba·na·nar ,a.bã.nã.nˈaɾ 
a·ba·não ,a.bã.nˈɐ̃w 
a·ba·nar ,a.bã.nˈaɾ 
a·ban·ca·do ,a.bɐ̃.kˈa.dʊ 
a·ban·car ,a.bɐ̃.kˈaɾ 
a·ban·da·lha·da·men·te ,a.bɐ̃.da.ʎa.dã.mˈẽ.tʃɪ 
a·ban·da·lha·do ,a.bɐ̃.da.ʎˈa.dʊ 
a·ban·da·lha·men·to ,a.bɐ̃.da.ʎã.mˈẽ.tʊ 
a·ban·da·lhar ,a.bɐ̃.da.ʎˈaɾ 
a·ban·dar ,a.bɐ̃.dˈaɾ 
a·ban·do·na·da ,a.bɐ̃.dõ.nˈa.dɐ 
a·ban·do·na·da·men·te ,a.bɐ̃.dõ.na.dã.mˈẽ.tʃɪ 
a·ban·do·na·do ,a.bɐ̃.dõ.nˈa.dʊ 
a·ban·do·na·do ,a.bɐ̃.dõ.nˈa.dʊ 
a·ban·do·nar ,a.bɐ̃.dõ.nˈaɾ 
a·ban·do·no ,a.bɐ̃.dˈõ.nʊ 
a·ba·ni·car ,a.bã.ni.kˈaɾ 
a·ba·ni·co ,a.bã.nˈi.kʊ
a·ba·no ,a.bˈɐ̃.nʊ 
a·ban·te  ,a.bˈɐ̃.tʃɪ 
a·ban·te  ,a.bˈɐ̃.tʃɪ 
a·ban·te  ,a.bˈɐ̃.tʃɪ 
a·bar ,a.bˈaɾ 
a·bar·ca ,a.bˈah.kɐ 
a·bar·ca·do ,a.bah.kˈa.dʊ 
a·bar·can·te ,a.bah.kˈɐ̃.tʃɪ 
a·bar·car ,a.bah.kˈaɾ 
a·bar·cá·vel ,a.bah.kˈa.vew 
a·bar·ga ,a.bˈaɦ.gɐ 
a·bar·quei·ro ,a.bah.kˈej.ɾʊ 
a·bar·ra·ca·do ,a.ba.ɦa.kˈa.dʊ 
a·bar·ra·ca·men·to ,a.ba.ɦa.kã.mˈẽ.tʊ 
a·bar·ra·car ,a.ba.ɦa.kˈaɾ 
a·bar·ran·ca·men·to ,a.ba.ɦɐ̃.kã.mˈẽ.tʊ 
a·bar·ran·car ,a.ba.ɦɐ̃.kˈaɾ 
a·bar·ro·ta·do ,a.ba.ɦo.tˈa.dʊ 
a·bar·ro·tar ,a.ba.ɦo.tˈaɾ
a·bar·ti·cu·la·ção  ,a.bah.tʃi.ku.la.sˈɐ̃w 
a·bar·ti·cu·lar  ,a.bah.tʃi.ku.lˈaɾ 
a·bar·tro·se  ,a.bah.tɾˈɔ.zɪ 
a·bas·ta·da·men·te ,a.baʃ.ta.dã.mˈẽ.tʃɪ 
a·bas·ta·do ,a.baʃ.tˈa.dʊ 
a·bas·tan·ça ,a.baʃ.tˈɐ̃.sɐ 
a·bas·tar ,a.baʃ.tˈaɾ 
a·bas·tar·da·da·men·te  ,a.baʃ.taɦ.da.dã.mˈẽ.tʃɪ 
a·bas·tar·da·do ,a.baʃ.taɦ.dˈa.dʊ 
a·bas·tar·da·men·to ,a.baʃ.taɦ.dã.mˈẽ.tʊ 
a·bas·tar·dar ,a.baʃ.taɦ.dˈaɾ 
a·bas·te·ce·dor ,a.baʃ.te.se.dˈoɾ 
a·bas·te·ce·dor ,a.baʃ.te.se.dˈoɾ 
a·bas·te·ce·do·ra ,a.baʃ.te.se.dˈo.ɾɐ 
a·bas·te·cer ,a.baʃ.te.sˈeɾ 
a·bas·te·ci·do ,a.baʃ.te.sˈi.dʊ 
a·bas·te·ci·men·to ,a.baʃ.te.sĩ.mˈẽ.tʊ 
a·bat-jour , 
a·ba·ta·na·do ,a.ba.tã.nˈa.dʊ 
a·ba·ta·ta·do ,a.ba.ta.tˈa.dʊ
a·ba·ta·tar ,a.ba.ta.tˈaɾ 
a·ba·te ,a.bˈa.tʃɪ 
a·ba·ter ,a.ba.tˈeɾ 
a·ba·ti·da·men·te ,a.ba.tʃi.dã.mˈẽ.tʃɪ 
a·ba·ti·do ,a.ba.tʃˈi.dʊ 
a·ba·ti·men·to ,a.ba.tʃĩ.mˈẽ.tʊ 
a·ba·ti·na·do ,a.ba.tʃĩ.nˈa.dʊ 
a·ba·ti·nar ,a.ba.tʃĩ.nˈaɾ 
a·bau·la·da·men·te  ,a.baw.la.dã.mˈẽ.tʃɪ 
a·ba·u·la·do ,a.baw.lˈa.dʊ 
a·ba·u·la·men·to ,a.ba.u.lã.mˈẽ.tʊ 
a·ba·u·lar ,a.ba.u.lˈaɾ 
a·bau·ni·lha·do ,a.bãw.ni.ʎˈa.dʊ 
a·bau·ni·lhar ,a.bãw.ni.ʎˈaɾ 
a·ba·xi·al ,a.bak.si.ˈaw 
abc ,ˌa.bˌe.sˈe 
ab·ce·dên·ci·a  ,ab.se.dˈẽ.sjɐ 
ab·ce·den·te  ,ab.se.dˈẽ.tʃɪ 
ab·ce·der ,ab.se.dˈeɾ 
ab·ces·são  ,ab.se.sˈɐ̃w
ab·ces·so ,a.bi.sˈɛ.sʊ 
ab·ci·são ,ab.si.zˈɐ̃w 
ab·di·ca·ção ,a.bi.dʒi.ka.sˈɐ̃w 
ab·di·ca·do ,a.bi.dʒi.kˈa.dʊ 
ab·di·car ,a.bi.dʒi.kˈaɾ 
ab·dó·men ,a.bə.dˈɔ̃.mɛ̃ 
ab·dô·men ,a.bə.dˈõ.mẽ 
ab·do·mi·nal ,a.bə.dõ.mĩ.nˈaw 
ab·do·mi·nal ,a.bə.dõ.mĩ.nˈaw 
a·be·be·rar ,a.be.be.ɾˈaɾ 
a·be·ce·da·ri·a·men·te  ,a.be.se.da.ɾi.ã.mˈẽ.tʃɪ 
a·be·ce·dá·ri·o ,a.be.se.dˈa.ɾjʊ 
a·be·ce·dá·ri·o ,a.be.se.dˈa.ɾjʊ 
a·bé·cu·la ,a.bˈɛ.ku.lɐ 
a·be·gão ,a.be.gˈɐ̃w 
a·be·go·a·ri·a ,a.be.go.a.ɾˈi.ɐ 
a·bei·ra·do ,a.bej.ɾˈa.dʊ 
a·bei·rar ,a.bej.ɾˈaɾ 
a·bei·ro ,a.bˈej.ɾʊ 
a·bei·ro ,a.bˈej.ɾʊ
a·be·lha ,a.bˈe.ʎɐ 
a·be·lhar ,a.be.ʎˈaɾ 
a·be·lha·ru·co ,a.be.ʎa.ɾˈu.kʊ 
a·be·lhei·ra ,a.be.ʎˈej.ɾɐ 
a·be·lhu·da·men·te  ,a.be.ʎu.dã.mˈẽ.tʃɪ 
a·be·lhu·do ,a.be.ʎˈu.dʊ 
a·be·lhu·do ,a.be.ʎˈu.dʊ 
a·ben·cer·ra·gem ,a.bẽ.se.ɦˈa.ʒẽj 
a·ben·ço·a·da·men·te ,a.bẽ.so.a.dã.mˈẽ.tʃɪ 
a·ben·ço·a·do ,a.bẽ.so.ˈa.dʊ 
a·ben·ço·ar ,a.bẽ.so.ˈaɾ 
a·ber·ra·ção ,a.be.ɦa.sˈɐ̃w 
a·ber·ran·te ,a.be.ɦˈɐ̃.tʃɪ 
a·ber·rar ,a.be.ɦˈaɾ 
a·ber·ta ,a.bˈɛh.tɐ 
a·ber·ta·men·te ,a.bɛh.tã.mˈẽ.tʃɪ 
a·ber·tís·si·mo ,a.beh.tʃˈi.sĩ.mʊ 
a·ber·to ,a.bˈɛh.tʊ 
a·ber·to ,a.bˈɛh.tʊ 
a·ber·tu·ra ,a.beh.tˈu.ɾɐ
a·bes·pi·nha·da·men·te ,a.beʃ.pĩ.ɲa.dã.mˈẽ.tʃɪ 
a·bes·pi·nha·do ,a.beʃ.pĩ.ɲˈa.dʊ 
a·bes·pi·nhar ,a.beʃ.pĩ.ɲˈaɾ 
a·bes·ti·ar ,a.beʃ.tʃi.ˈaɾ 
a·be·tar·da ,a.be.tˈaɦ.dɐ 
a·be·ter·no ,a.be.tˈeɦ.nʊ 
a·be·to ,a.bˈe.tʊ 
a·be·va·cu·a·ção  ,a.be.va.ku.a.sˈɐ̃w 
a·bi·car ,a.bi.kˈaɾ 
a·bi·ní·ci·o ,a.bĩ.nˈi.sjʊ 
a·bir·ri·ta·ção ,a.bi.ɦi.ta.sˈɐ̃w 
a·bir·ri·tan·te ,a.bi.ɦi.tˈɐ̃.tʃɪ 
a·bir·ri·tar ,a.bi.ɦi.tˈaɾ 
a·bir·ri·tá·vel ,a.bi.ɦi.tˈa.vew 
a·bis·ma·do ,a.biʒ.mˈa.dʊ 
a·bis·mal ,a.biʒ.mˈaw 
a·bis·mar ,a.biʒ.mˈaɾ 
a·bis·mo ,a.bˈiʒ.mʊ
a·bis·sal ,a.bi.sˈaw 
a·bis·sí·ni·a ,a.bi.sˈĩ.njɐ 
a·bis·sí·ni·o ,a.bi.sˈĩ.njʊ 
a·bis·sí·ni·o ,a.bi.sˈĩ.njʊ 
a·bis·so  ,a.bˈi.sʊ 
ab·je·ção ,a.bi.ʒe.sˈɐ̃w 
ab·je·ta·men·te ,a.bi.ʒɛ.tã.mˈẽ.tʃɪ 
ab·je·to ,a.bi.ʒˈɛ.tʊ 
ab·ju·di·can·te ,ab.ʒu.dʒi.kˈɐ̃.tʃɪ 
ab·ju·di·can·te ,ab.ʒu.dʒi.kˈɐ̃.tʃɪ 
ab·ju·di·can·te ,ab.ʒu.dʒi.kˈɐ̃.tʃɪ 
ab·ju·gar ,ab.ʒu.gˈaɾ 
ab·jun·ção ,ab.ʒũ.sˈɐ̃w 
ab·jun·gir ,ab.ʒũ.ʒˈiɾ 
ab·ju·ra·ção ,a.bə.ʒu.ɾa.sˈɐ̃w 
ab·ju·ra·do ,a.bə.ʒu.ɾˈa.dʊ 
ab·ju·ra·men·to ,ab.ʒu.ɾã.mˈẽ.tʊ 
ab·ju·rar ,a.bə.ʒu.ɾˈaɾ 
a·bla·ção ,a.bla.sˈɐ̃w 
a·blac·ta·ção ,ab.la.kə.ta.sˈɐ̃w
a·blac·tar ,ab.la.kə.tˈaɾ 
a·bla·me·lar  ,ab.lã.me.lˈaɾ 
a·bla·mi·nar  ,ab.lã.mĩ.nˈaɾ 
a·bla·mi·ná·ri·a  ,ab.lã.mĩ.nˈa.ɾjɐ 
a·bla·que·a·ção ,ab.la.ke.a.sˈɐ̃w 
a·bla·que·ar ,ab.la.ki.ˈaɾ 
ab·le·ga·ção ,ab.le.ga.sˈɐ̃w 
ab·le·ga·do ,ab.le.gˈa.dʊ 
ab·le·ga·do ,ab.le.gˈa.dʊ 
ab·le·gar ,ab.le.gˈaɾ 
a·blei·tar  ,ab.lej.tˈaɾ 
a·blo·ca·ção ,ab.lo.ka.sˈɐ̃w 
a·blo·ca·dor ,ab.lo.ka.dˈoɾ 
a·blo·ca·dor ,ab.lo.ka.dˈoɾ 
a·blo·car ,ab.lo.kˈaɾ 
a·blo·ca·tá·ri·o ,ab.lo.ka.tˈa.ɾjʊ 
a·blu·ção ,a.blu.sˈɐ̃w 
ab·ne·ga·ção ,a.bĩ.ne.ga.sˈɐ̃w 
ab·ne·ga·da·men·te ,a.bĩ.ne.ga.dã.mˈẽ.tʃɪ 
ab·ne·ga·do ,a.bĩ.ne.gˈa.dʊ
ab·ne·ga·dor ,ab.ne.ga.dˈoɾ 
ab·ne·ga·dor ,ab.ne.ga.dˈoɾ 
ab·ne·gar ,a.bĩ.ne.gˈaɾ 
ab·ne·ga·ti·vo ,ab.ne.ga.tʃˈi.vʊ 
ab·ne·to  ,ab.nˈɛ.tʊ 
ab·no·do·so ,ab.no.dˈo.zʊ 
ab·nor·mal  ,ab.noɦ.mˈaw 
a·bo·ar ,a.bo.ˈaɾ 
a·bó·ba·da ,a.bˈɔ.ba.dɐ 
a·bo·ba·da·do ,a.bo.ba.dˈa.dʊ 
a·bo·ba·dar ,a.bo.ba.dˈaɾ 
a·bo·ba·di·lha ,a.bo.ba.dʒˈi.ʎɐ 
a·bó·bo·ra ,a.bˈɔ.bo.ɾɐ 
a·bo·bo·rar ,a.bo.bo.ɾˈaɾ 
a·bo·bo·rei·ra ,a.bo.bo.ɾˈej.ɾɐ 
a·bo·bra ,a.bˈɔ.bɾɐ 
a·bo·bra ,a.bˈɔ.bɾɐ 
a·bo·brei·ra  ,a.bo.bɾˈej.ɾɐ 
a·bo·ca ,a.bˈo.kɐ 
a·bo·ca·nha·do ,a.bo.kã.ɲˈa.dʊ
a·bo·ca·nhar ,a.bo.kã.ɲˈaɾ 
a·bo·car ,a.bɔ.kˈaɾ 
a·boi·o ,a.bˈoj.ʊ 
a·boi·o ,a.bˈoj.ʊ 
a·bo·la  ,a.bˈɔ.lɐ 
a·bo·lar ,a.bo.lˈaɾ 
a·bo·le·a·do  ,a.bo.li.ˈa.dʊ 
a·bo·le·ar  ,a.bo.li.ˈaɾ 
a·bo·le·ta·do ,a.bo.le.tˈa.dʊ 
a·bo·le·ta·do ,a.bo.le.tˈa.dʊ 
a·bo·le·tar ,a.bo.le.tˈaɾ 
a·bo·lhar  ,a.bo.ʎˈaɾ 
a·bo·li·ção ,a.bo.li.sˈɐ̃w 
a·bo·li·ci·o·nis·mo ,a.bo.li.sjõ.nˈiʒ.mʊ 
a·bo·li·ci·o·nis·ta ,a.bo.li.sjõ.nˈiʃ.tɐ 
a·bo·li·ci·o·nis·ta ,a.bo.li.sjõ.nˈiʃ.tɐ 
a·bo·li·ci·o·nis·ta ,a.bo.li.sjõ.nˈiʃ.tɐ 
a·bo·li·do ,a.bo.lˈi.dʊ 
a·bo·lir ,a.bo.lˈiɾ 
a·bo·mi·na·ção ,a.bõ.mĩ.na.sˈɐ̃w
a·bo·mi·nan·do ,a.bõ.mĩ.nˈɐ̃.dʊ 
a·bo·mi·nar ,a.bõ.mĩ.nˈaɾ 
a·bo·mi·ná·vel ,a.bõ.mĩ.nˈa.vew 
a·bo·mi·na·vel·men·te ,a.bõ.mĩ.na.vew.mˈẽ.tʃɪ 
a·bo·mi·no·so ,a.bõ.mĩ.nˈo.zʊ 
a·bo·na·ção ,a.bõ.na.sˈɐ̃w 
a·bo·na·da·men·te ,a.bõ.na.dã.mˈẽ.tʃɪ 
a·bo·na·do ,a.bõ.nˈa.dʊ 
a·bo·nar ,a.bõ.nˈaɾ 
a·bo·na·to·ri·a·men·te  ,a.bõ.na.tɔ.ɾi.ã.mˈẽ.tʃɪ 
a·bo·na·tó·ri·o ,a.bõ.na.tˈɔ.ɾjʊ 
a·bon·da ,a.bˈõ.dɐ 
a·bon·de ,a.bˈõ.dʒɪ 
a·bo·no ,a.bˈõ.nʊ 
a·bo·ral ,a.bo.ɾˈaw 
a·bor·bi·tar  ,a.boɦ.bi.tˈaɾ 
a·bor·da·da ,a.boɦ.dˈa.dɐ 
a·bor·da·do ,a.boɦ.dˈa.dʊ 
a·bor·da·gem ,a.boɦ.dˈa.ʒẽj 
a·bor·dar ,a.boɦ.dˈaɾ
a·bor·dá·vel ,a.boɦ.dˈa.vew 
a·bor·do ,a.bˈoɦ.dʊ 
a·bo·rí·ge·ne ,a.bo.ɾˈi.ʒẽ.nɪ 
a·bor·re·cer ,a.bo.ɦe.sˈeɾ 
a·bor·re·ci·da ,a.bo.ɦe.sˈi.dɐ 
a·bor·re·ci·da·men·te ,a.bo.ɦe.si.dã.mˈẽ.tʃɪ 
a·bor·re·ci·do ,a.bo.ɦe.sˈi.dʊ 
a·bor·re·ci·do ,a.bo.ɦe.sˈi.dʊ 
a·bor·re·ci·men·to ,a.bo.ɦe.sĩ.mˈẽ.tʊ 
a·bor·ta·dei·ra ,a.boh.ta.dˈej.ɾɐ 
a·bor·ta·do ,a.boh.tˈa.dʊ 
a·bor·ta·do ,a.boh.tˈa.dʊ 
a·bor·ta·men·to ,a.boh.tã.mˈẽ.tʊ 
a·bor·tar ,a.boh.tˈaɾ 
a·bor·ti·va·men·te ,a.boh.tʃi.vã.mˈẽ.tʃɪ 
a·bor·ti·vo ,a.boh.tʃˈi.vʊ 
a·bor·ti·vo ,a.boh.tʃˈi.vʊ 
a·bor·to ,a.bˈoh.tʊ 
a·bo·ta ,a.bˈo.tɐ
a·bo·to·a·do ,a.bo.to.ˈa.dʊ 
a·bo·to·ar ,a.bo.to.ˈaɾ 
a·bra ,ˈa.bɾɐ 
a·bra·ca·da·bra ,a.bɾa.ka.dˈa.bɾɐ 
a·bra·ça·do ,a.bɾa.sˈa.dʊ 
a·bra·çar ,a.bɾa.sˈaɾ 
a·bra·ço ,a.bɾˈa.sʊ 
a·bran·da·do ,a.bɾɐ̃.dˈa.dʊ 
a·bran·da·men·to ,a.bɾɐ̃.dã.mˈẽ.tʊ 
a·bran·dar ,a.bɾɐ̃.dˈaɾ 
a·bran·gên·ci·a ,a.bɾɐ̃.ʒˈẽ.sjɐ 
a·bran·gen·te ,a.bɾɐ̃.ʒˈẽ.tʃɪ 
a·bran·ger ,a.bɾɐ̃.ʒˈeɾ 
a·bran·gi·do ,a.bɾɐ̃.ʒˈi.dʊ 
a·bran·ti·na ,a.bɾɐ̃.tʃˈĩ.nɐ 
a·bran·ti·no ,a.bɾɐ̃.tʃˈĩ.nʊ 
a·bran·ti·no ,a.bɾɐ̃.tʃˈĩ.nʊ 
a·bra·sa·da·men·te  ,a.bɾa.za.dã.mˈẽ.tʃɪ 
a·bra·sa·do ,a.bɾa.zˈa.dʊ 
a·bra·sa·dor ,a.bɾa.za.dˈoɾ
a·bra·sa·do·ra·men·te ,a.bɾa.za.do.ɾã.mˈẽ.tʃɪ 
a·bra·são ,a.bɾa.zˈɐ̃w 
a·bra·sar ,a.bɾa.zˈaɾ 
a·bra·si·lei·ra·da·men·te ,a.bɾa.zi.lej.ɾa.dã.mˈẽ.tʃɪ 
a·bra·si·lei·ra·do ,a.bɾa.zi.lej.ɾˈa.dʊ 
a·bra·si·lei·rar ,a.bɾa.zi.lej.ɾˈaɾ 
a·bra·si·vo ,a.bɾa.zˈi.vʊ 
a·bra·si·vo ,a.bɾa.zˈi.vʊ 
a·bre-la·tas ,ˌa.bɾi.lˈa.tɐʃ 
a·bre·nún·ci·o ,a.bɾẽ.nˈũ.sjʊ 
a·breu ,a.bɾˈew 
a·bre·vi·a·ção ,a.bɾe.vi.a.sˈɐ̃w 
a·bre·vi·a·da·men·te ,a.bɾe.vi.a.dã.mˈẽ.tʃɪ 
a·bre·vi·a·do ,a.bɾe.vi.ˈa.dʊ 
a·bre·vi·a·do ,a.bɾe.vi.ˈa.dʊ 
a·bre·vi·ar ,a.bɾe.vi.ˈaɾ 
a·bre·vi·a·tu·ra ,a.bɾe.vi.a.tˈu.ɾɐ 
a·bri·ga·da ,a.bɾi.gˈa.dɐ 
a·bri·ga·da·men·te ,a.bɾi.ga.dã.mˈẽ.tʃɪ 
a·bri·ga·do ,a.bɾi.gˈa.dʊ
a·bri·gar ,a.bɾi.gˈaɾ 
a·bri·go ,a.bɾˈi.gʊ 
a·bril ,a.bɾˈiw 
a·bri·lhan·ta·do ,a.bɾi.ʎɐ̃.tˈa.dʊ 
a·bri·lhan·tar ,a.bɾi.ʎɐ̃.tˈaɾ 
a·brir ,a.bɾˈiɾ 
a·bro·lho ,a.bɾˈo.ʎʊ 
a·bró·te·a ,a.bɾˈɔ.tʃjɐ 
a·bru·nhal ,a.bɾũ.ɲˈaw 
a·bru·nhal ,a.bɾũ.ɲˈaw 
a·bru·nhei·ro ,a.bɾũ.ɲˈej.ɾʊ 
a·bru·nho ,a.bɾˈũ.ɲʊ 
ab·rup·ta·men·te ,a.bɾʊ.pə.tã.mˈẽ.tʃɪ 
ab·rup·to ,abɾˈu.pə.tʊ 
a·bru·ta·lha·da·men·te  ,a.bɾu.ta.ʎa.dã.mˈẽ.tʃɪ 
a·bru·ta·lha·do ,a.bɾu.ta.ʎˈa.dʊ 
a·bru·ta·lhar ,a.bɾu.ta.ʎˈaɾ 
ab·se·me·lhan·ça  ,ab.sẽ.me.ʎˈɐ̃.sɐ 
ab·se·me·lhan·te  ,ab.sẽ.me.ʎˈɐ̃.tʃɪ 
ab·sen·tar  ,ab.sẽ.tˈaɾ
ab·sen·tis·mo ,a.bi.sẽ.tʃˈiʒ.mʊ 
ab·sen·tis·ta ,a.bi.sẽ.tʃˈiʃ.tɐ 
ab·si·de ,a.bi.sˈi.dʒɪ 
ab·sí·mi·le  ,ab.sˈĩ.mi.lɪ 
ab·sin·to ,a.bi.sˈĩ.tʊ 
ab·so·gro  ,ab.sˈo.gɾʊ 
ab·so·lu·ção  ,ab.so.lu.sˈɐ̃w 
ab·so·lu·ta·men·te ,a.bə.so.lu.tã.mˈẽ.tʃɪ 
ab·so·lu·tis·mo ,a.bə.so.lu.tʃˈiʒ.mʊ 
ab·so·lu·tis·ta ,a.bə.so.lu.tʃˈiʃ.tɐ 
ab·so·lu·tis·ta ,a.bə.so.lu.tʃˈiʃ.tɐ 
ab·so·lu·tis·ta ,a.bə.so.lu.tʃˈiʃ.tɐ 
ab·so·lu·ti·zar ,a.bə.so.lu.tʃi.zˈaɾ 
ab·so·lu·to ,a.bə.so.lˈu.tʊ 
ab·so·lu·to ,a.bə.so.lˈu.tʊ 
ab·sol·ven·te  ,ab.sow.vˈẽ.tʃɪ 
ab·sol·ver ,a.bə.sow.vˈeɾ 
ab·sol·vi·ção ,a.bə.sow.vi.sˈɐ̃w 
ab·sol·vi·do ,a.bə.sow.vˈi.dʊ
ab·so·nân·ci·a  ,ab.sõ.nˈɐ̃.sjɐ 
ab·so·nan·te  ,ab.sõ.nˈɐ̃.tʃɪ 
ab·so·nar  ,ab.sɔ̃.nˈaɾ 
ab·sor·ção ,a.bə.soh.sˈɐ̃w 
ab·sor·to ,a.bə.sˈoh.tʊ 
ab·sor·ve·dou·ro ,ab.soɦ.ve.dˈo.ɾʊ 
ab·sor·ven·te ,a.bə.soɦ.vˈẽ.tʃɪ 
ab·sor·ven·te ,a.bə.soɦ.vˈẽ.tʃɪ 
ab·sor·ven·te·men·te ,a.bə.soɦ.vẽ.tẽ.mˈẽ.tʃɪ 
ab·sor·ver ,a.bə.soɦ.vˈeɾ 
ab·sor·vi·do ,a.bə.soɦ.vˈi.dʊ 
ab·sor·ví·vel ,a.bə.soɦ.vˈi.vew 
abs·té·mi·a ,abʃ.tˈɛ̃.mjɐ 
abs·tê·mi·o ,abʃ.tˈẽ.mjʊ 
abs·tê·mi·o ,abʃ.tˈẽ.mjʊ 
abs·té·mi·o ,abʃ.tˈɛ̃.mjʊ 
abs·té·mi·o ,abʃ.tˈɛ̃.mjʊ 
abs·ten·ção ,abʃ.tẽ.sˈɐ̃w 
abs·ten·ci·o·nis·mo ,abʃ.tẽ.sjõ.nˈiʒ.mʊ 
abs·ten·ci·o·nis·ta ,abʃ.tẽ.sjõ.nˈiʃ.tɐ
abs·ter ,abʃ.tˈeɾ 
abs·ti·nên·ci·a ,abʃ.tʃĩ.nˈẽ.sjɐ 
abs·ti·nen·te ,abʃ.tʃĩ.nˈẽ.tʃɪ 
abs·ti·nen·te ,abʃ.tʃĩ.nˈẽ.tʃɪ 
abs·ti·nen·te ,abʃ.tʃĩ.nˈẽ.tʃɪ 
abs·ti·nen·te·men·te  ,abʃ.tʃĩ.nẽ.tẽ.mˈẽ.tʃɪ 
